FECHA,DETALLE,ENTRADA ,SALIDA,SALDO,ADQ.,PROM.,DEBE,HABER,SALDO
08/11/2013,Compra Clavos  Calamina F-231,92,,92,14.48,,1332.14,,1332.14
08/11/2013,VENTA CLAVOS DE CALAMINA F-690,,1,91,,14.48,,14.48,1317.66
12/11/2013,VENTA CLAVOS DE CALAMINA F- 697,,2,89,,14.48,,28.96,1288.7
14/11/2013,VENTA CLAVOS DE CALAMINA F- 704,,6,83,,14.48,,86.88,1201.83
18/11/2013,VENTA CLAVOS DE CALAMINA F- 711,,10,73,,14.48,,144.8,1057.03
20/11/2013,VENTA CLAVOS DE CALAMINA F-716,,2,71,,14.48,,28.96,1028.07
20/11/2013,VENTA CLAVOS DE CALAMINA F- 718,,3,68,,14.48,,43.44,984.63
21/11/2013,VENTA CLAVOS DE CALAMINA F- 722,,2,66,,14.48,,28.96,955.67
22/11/2013,VENTA CLAVOS DE CALAMINA F- 727,,3,63,,14.48,,43.44,912.23
23/11/2013,VENTA CLAVOS DE CALAMINA F- 732,,1,62,,14.48,,14.48,897.75
23/11/2013,VENTA CLAVOS DE CALAMINA F- 733,,5,57,,14.48,,72.4,825.35
25/11/2013,VENTA CLAVOS DE CALAMINA F- 734,,3,54,,14.48,,43.44,781.91
28/11/2013,Compra Clavos  Calamina F-488,92,,146,14.48,,1332.14,,2114.05
29/11/2013,VENTA CLAVOS DE CALAMINA F- 746,,1,145,,14.48,,14.48,2099.57
29/11/2013,VENTA CLAVOS DE CALAMINA F- 747,,6,139,,14.48,,86.88,2012.69
02/12/2013,VENTA CLAVOS DE CALAMINA F- 753,,20,119,,14.48,,289.6,1723.1
10/12/2013,VENTA CLAVOS DE CALAMINA F- 766,,1,118,,14.48,,14.48,1708.62
11/12/2013,VENTA CLAVOS DE CALAMINA F- 771,,1,117,,14.48,,14.48,1694.14
14/12/2013,VENTA CLAVOS DE CALAMINA F- 781,,1,116,,14.48,,14.48,1679.66
20/12/2013,VENTA CLAVOS DE CALAMINA F- 800,,5,111,,14.53,,72.65,1607.01
21/12/2013,VENTA CLAVOS DE CALAMINA F- 807,,3,108,,14.53,,43.59,1563.42
21/12/2013,VENTA CLAVOS DE CALAMINA F- 810,,2,106,,14.53,,29.06,1534.36
23/12/2013,VENTA CLAVOS DE CALAMINA F- 814,,1,105,,14.53,,14.53,1519.83
24/12/2013,VENTA CLAVOS DE CALAMINA F- 816,,1,104,,14.53,,14.53,1505.3
27/12/2013,VENTA CLAVOS DE CALAMINA F- 821,,10,94,,14.53,,145.3,1360
27/12/2013,VENTA CLAVOS DE CALAMINA F- 822,,2,92,,14.53,,29.06,1330.94
27/12/2013,VENTA CLAVOS DE CALAMINA F- 823,,2,90,,14.53,,29.06,1301.88
07/01/2014,COMPRA DE CLAVOS  F- 919,92,,182,14.48,,"1,332.14",,"2,635.32"
08/01/2014,VENTA CLAVOS DE CALAMINA F- 857,,1,181,,14.48,,14.48,"2,620.84"
15/01/2014,VENTA CLAVOS DE CALAMINA F-883,,12,169,,14.48,,173.76,"2,447.09"
20/01/2014,VENTA CLAVOS DE CALAMINA F-898,,2,167,,14.48,,28.96,"2,418.13"
21/01/2014,VENTA CLAVOS DE CALAMINA F-901,,3,164,,14.48,,43.44,"2,374.69"
21/01/2014,VENTA CLAVOS DE CALAMINA F- 908,,3,161,,14.48,,43.44,"2,331.25"
23/01/2014,VENTA CLAVOS DE CALAMINA F-911,,1,160,,14.48,,14.48,"2,316.77"
29/01/2014,VENTA CLAVOS DE CALAMINA F-929,,2,158,,14.48,,28.96,"2,287.81"
29/01/2014,VENTA CLAVOS DE CALAMINA F-930,,6,152,,14.48,,86.88,"2,200.93"
01/02/2014,VENTA CLAVOS DE CALAMINA F-939,,1,151,,14.48,,14.48,"2,186.45"
06/02/2014,VENTA CLAVOS DE CALAMINA F-953,,1,150,,14.48,,14.48,"2,171.97"
07/02/2014,VENTA CLAVOS DE CALAMINA F-958,,3,147,,14.48,,43.44,"2,128.53"
13/02/2014,VENTA CLAVOS DE CALAMINA F-972,,43,104,,14.48,,622.63,"1,505.90"
15/02/2014,VENTA CLAVOS DE CALAMINA F-980,,6,98,,14.48,,86.88,"1,419.02"
17/02/2014,COMPRA DE CLAVOS  F- 1526,92,,190,14.48,,1332.14,,"2,751.16"
19/02/2014,VENTA CLAVOS DE CALAMINA F-986,,3,187,,14.48,,43.44,"2,707.73"
20/02/2014,VENTA CLAVOS DE CALAMINA F-987,,4,183,,14.48,,57.92,"2,649.81"
24/02/2014,VENTA CLAVOS DE CALAMINA F-992,,0.5,182.5,,14.48,,7.24,"2,642.57"
25/02/2014,VENTA CLAVOS DE CALAMINA F-994,,2,180.5,,14.48,,28.96,"2,613.61"
28/02/2014,VENTA CLAVOS DE CALAMINA F-995,,1,179.5,,14.48,,14.48,"2,599.13"
08/03/2014,VENTA CLAVOS DE CALAMINA F-1001,,6,173.5,,14.48,,86.88,"2,512.25"
