Numero de Registro,Codigo de Producto,Descripcion,Cantidad,Fecha,Precio Unitario,Precio Total,Sucursal
1370429,46337,Budin de Navidad,12,16/07/2020,13.49,161.82,3
1370429,43573,Mini casos de color variado,2,16/07/2020,73.94,147.87,3
1370429,178987B,Matrioshka Muñeca Rusa Amarillo,6,16/07/2020,46.04,276.21,3
1370429,45635,Luz nocturna LED de velador rojo,24,16/07/2020,15.35,368.28,3
1370429,46334,Bote de baratijas de rosquilla,12,16/07/2020,15.35,184.14,3
1370429,46473,Decoración navideña del cono de fiesta,24,16/07/2020,7.91,189.72,3
1370429,45135, Etiquetas de regalo de diseño vintage,12,16/07/2020,7.91,94.86,3
1370429,178954,Surtido Tortas de pasteles de refrigerador,12,16/07/2020,6.05,72.54,3
1370429,177851,Paquete de 20 clavijas,12,16/07/2020,7.91,94.86,3
1370429,45131,Conjunto de tres envolturas de regalo vintage,6,16/07/2020,18.14,108.81,3
1370429,33955N,Envoltorio azul folkart ruso,25,16/07/2020,3.91,97.65,3
1370429,33938P,Envoltorio inglés rosa,25,16/07/2020,3.91,97.65,3
1370429,178529B,Repuestos rojos/blancos para un paraguas,3,16/07/2020,55.34,166.005,3
1370429,178529A,Repuestos negros/azules Rushled Umbrella,3,16/07/2020,55.34,166.005,3
1370429,46939,Lonchera con cubiertos ,12,16/07/2020,23.72,284.58,3
1370429,46492,Tea set cerámica 11 pc,9,16/07/2020,46.04,414.315,3
1370429,46490,Juego de hornear 9 piezas ,9,16/07/2020,46.04,414.315,3
1370429,46899,Bolsa de fiesta deportiva  + set de pegatinas,8,16/07/2020,15.35,122.76,3
1370429,,Gastos de envio,3,16/07/2020,15,502.2,3
1370656,46792,12 madera pintada de casa de huevo,4,16/07/2020,118.58,474.3,2
1370656,45868,Calculadora de botones de caramelo de corazón rosa,54,16/07/2020,23.72,1280.61,2
1370656,46387,Paper Bunting Vintage Paisley,6,16/07/2020,27.44,164.61,2
1370656,45003,Set/3 Red Gingham Rose Storage Box,4,16/07/2020,34.88,139.5,2
1370656,43541,Mini cinta de plata,10,16/07/2020,7.91,79.05,2
1370656,44379,Bájaro pintado de Navidad surtido,12,16/07/2020,15.72,188.604,2
1370656,46454,Letras de bloque de madera noel,3,16/07/2020,55.34,166.005,2
1370656,46374,Kit de la cadena de papel  ,6,16/07/2020,27.44,164.61,2
1370656,46381,Kit de la cadena de papel de la Navidad 50,6,16/07/2020,27.44,164.61,2
1370656,178156,Decoración del corazón del metal de zinc,12,16/07/2020,11.63,139.5,2
1370656,46456,Juego de 2 paños de cocina de fuentes elegantes,12,16/07/2020,27.44,329.22,2
1370656,173460,Sin signo de metal de canto,12,16/07/2020,19.53,234.36,2
1370656,73649,Decoración de navidad de Santa Surtido,12,16/07/2020,7.91,94.86,2
1370656,44480,Por favor signo de metal de una persona,6,16/07/2020,19.53,117.18,2
1370656,45119,Botella de agua caliente de corazón rojo,3,16/07/2020,46.04,138.105,2
1370656,45746,Caja de brillo de zapatos,4,16/07/2020,92.54,370.14,2
1370656,44461,Signo de metal de fiesta,12,16/07/2020,13.49,161.82,2
1370656,75077C,Anillo de vela actual de púrpura,12,16/07/2020,6.98,83.7,2
1370656,152752B,Vela de aroma de chocolate blanco,12,16/07/2020,11.63,139.5,2
1370656,46645,Four Hook White TmaBirds,6,16/07/2020,19.53,117.18,2
1370656,45198,Fantasía Font Home dulce para casa,2,16/07/2020,62.78,125.55,2
1370656,101193,Mat de puerta Nueva Inglaterra,2,16/07/2020,62.78,125.55,2
1370656,46439,Té y simpatía de la botella de agua caliente,8,16/07/2020,36.74,293.88,2
1370656,152756,Grand ChocolateCandle,36,16/07/2020,13.49,485.46,2
1370656,178987D,Tins de apilamiento de decoupage set/3,3,16/07/2020,46.04,138.105,2
1370656,43739,Clips de mariposas brillantes,6,16/07/2020,23.72,142.29,2
1370656,46368,Diseño de manchas de carrete de cinta,10,16/07/2020,15.35,153.45,2
1370656,46372,Diseño de rayas de carrete de cinta,10,16/07/2020,15.35,153.45,2
1370656,45683,Palabra de bloques de construcción de la casa,6,16/07/2020,55.34,332.01,2
1370656,101210,Puerta Mat Green Paisley,2,16/07/2020,62.78,125.55,2
1370673,46874,Decoración de pájaros punto rojo,24,16/07/2020,7.91,189.72,1
1370673,44600,Copa manchada roja,16,16/07/2020,7.91,126.48,1
1370673,44608,Plato manchado rojo,8,16/07/2020,15.72,125.736,1
1370673,46687,Jigsaw Toadstools 3 piezas,8,16/07/2020,15.35,122.76,1
1370673,45224,Jarra de leche pequeña de mancha ,6,16/07/2020,23.72,142.29,1
1370673,45872,Taza de manchas ,6,16/07/2020,27.44,164.61,1
1370673,46353,Jarra de almacenamiento de manchas ,4,16/07/2020,34.88,139.5,1
1370673,46351,Copa de té y platillo ,4,16/07/2020,34.88,139.5,1
1370673,,Paragua Eduardino Negro,6,16/07/2020,55.34,332.01,1
1370673,45755,Kids Rain Mac Blue,24,16/07/2020,7.91,189.72,1
1370673,45635,Luz nocturna LED de velador rojo,12,16/07/2020,15.35,184.14,1
1370673,46733,FIENTO TOADSTEOL LIGRO,12,16/07/2020,11.63,139.5,1
1370673,46736,FIENTO TOADSTEOL PEQUEÑO,12,16/07/2020,7.91,94.86,1
1370673,96600S,Almohadilla de llenado de poliéster 40x40cm,2,16/07/2020,13.49,26.97,1
1370673,44024,Almohadilla de llenado de poliéster 60x40cm,3,16/07/2020,23.72,71.145,1
1370673,44556,Latas de pastel redondo rojo,3,16/07/2020,92.54,277.605,1
1370673,45757,Kids Rain Mac Pink,24,16/07/2020,7.91,189.72,1
1370673,43432,Paraguas de los niños rojas,6,16/07/2020,30.23,181.35,1
1370673,178529C,Repuestos azules/marrones para un paraguero,3,16/07/2020,55.34,166.005,1
1370673,31618N,Parasol eduardiano natural,6,16/07/2020,55.34,332.01,1
1370673,43919,Set/5 tazones de vidrio de tapa manchada roja,12,16/07/2020,27.44,329.22,1
1370673,45219,Jarra de leche grande de mancha ,6,16/07/2020,46.04,276.21,1
1370673,178987B,Matrioshka Muñeca Rusa Amarillo,9,16/07/2020,46.04,414.315,1
1370673,178147,Zinc willie winkie stick de vela,24,16/07/2020,7.91,189.72,1
1370673,178603E,Cintas de los rojos escandinavos,12,16/07/2020,11.63,139.5,1
1370673,46150,Paquete de 60 fundas de pastel de hongos,24,16/07/2020,5.12,122.76,1
1370673,45146,Envoltura de manchas rojas,25,16/07/2020,3.91,97.65,1
1370673,46362,6 cintas encanto rústico,12,16/07/2020,15.35,184.14,1
1370673,178387,Antiguo vidrio de té plateado grabado,12,16/07/2020,11.63,139.5,1
1370673,178391,Silver Hanging TLight Sujetador Dome,24,16/07/2020,15.35,368.28,1
1370673,45228,Cuenco de budín de manchas ,4,16/07/2020,39.53,158.1,1
1370673,45639,Corazón rojo colgante titular de la luz,6,16/07/2020,27.44,164.61,1
1370673,178758A,White Hanging Heart T Sujetador TLight,6,16/07/2020,27.44,164.61,1
1370673,43508,Bolso de comprador rojo,10,16/07/2020,11.63,116.25,1
1370673,45232,Plato de mantequilla de manchas ,3,16/07/2020,46.04,138.105,1
1370673,33955F,Wrap Blizzard,25,16/07/2020,3.91,97.65,1
1370673,178156,Decoración del corazón del metal de zinc,24,16/07/2020,11.63,279,1
1370673,45207,Tetera tradicional del punto ,2,16/07/2020,73.94,147.87,1
1370673,45215,Tazón de jam de azúcar  ,6,16/07/2020,23.72,142.29,1
1370673,46578,Lámpara de punto ,3,16/07/2020,92.54,277.605,1
1370673,46899,Bolsa de fiesta deportiva  + set de pegatinas,8,16/07/2020,15.35,122.76,1
1370673,46870,Clips de cabello Cuidenciatura Surtido,24,16/07/2020,6.05,145.08,1
1370673,43420,Tazón manchado rojo,8,16/07/2020,11.63,93,1
1370673,,Gastos de envio,6,16/07/2020,15,1004.4,1
1370695,75247,Cuerda de adviento de guantes de calcetín de sombrero lanudo,1,16/07/2020,55.34,55.335,3
1370729,176505,Sartén de huevo con forma de corazón rosa,6,16/07/2020,15.35,92.07,2
1370729,46618,Freír sartén rojo polkadot,4,16/07/2020,39.53,158.1,2
1370729,46612,Cucharas de miding de corazón pequeño,12,16/07/2020,7.91,94.86,2
1370729,46610,Cucharas de medición de corazón grande,12,16/07/2020,15.35,184.14,2
1370729,43577,Guantes de lavado funky surtido,12,16/07/2020,19.53,234.36,2
1370729,44545,Paquete de 72 cajas de pastel de manchas ,24,16/07/2020,5.12,122.76,2
1370729,44108,Delantal de niños de rosa du sud,3,16/07/2020,39.53,118.575,2
