Date,SALIDA
2012-01-01,614.7
2012-02-01,828.25
2012-03-01,296.45
2012-04-01,102.4
2012-05-01,543.12
2012-06-01,298.88
2012-07-01,701.74
2012-08-01,908.61
2012-09-01,1193.87
2012-10-01,2661.71
2012-11-01,3119.84
2012-12-01,2815.61
2013-01-01,1671.67
2013-02-01,1632.26
2013-03-01,527.3
2013-04-01,1233.31
2013-05-01,1470.35
2013-06-01,1142.9
2013-07-01,2225.85
2013-08-01,1490.48
2013-09-01,1642.8600000000001
2013-10-01,1922.45
2013-11-01,5813.77
2013-12-01,6249.1
2014-01-01,3994.09
2014-02-01,3.0
2014-03-01,424.1
2014-04-01,1039.1100000000001
2014-05-01,1953.09
2014-06-01,3592.9300000000003
2014-07-01,2123.37
2014-08-01,1883.79
2014-09-01,2709.5899999999997
2014-10-01,2510.15
2014-11-01,1216.0
2014-12-01,2693.5
2015-01-01,1082.26
2015-02-01,718.9399999999999
2015-03-01,1054.34
2015-04-01,1611.6399999999999
2015-05-01,117.3
2015-06-01,351.21
2015-07-01,70.12
2015-08-01,35.6
2015-09-01,82.41
2015-10-01,65.1
2015-11-01,89.96
2015-12-01,905.27
2016-01-01,1147.64
2016-02-01,3574.62
2016-03-01,2335.42
2016-04-01,1996.87
2016-05-01,2062.93
2016-06-01,1909.78
2016-07-01,773.4300000000001
2016-08-01,1440.07
2016-09-01,382.05
2016-10-01,1135.82
2016-11-01,1475.09
2016-12-01,925.2900000000001
2017-01-01,228.47
2017-02-01,279.4
2017-03-01,1179.7
2017-04-01,1132.3
2017-05-01,1367.44
2017-06-01,2773.74
2017-07-01,1932.55
2017-08-01,2275.58
2017-09-01,1022.12
2017-10-01,1151.43
2017-11-01,1538.54
2017-12-01,1786.23
2018-01-01,1663.83
2018-02-01,1929.06
2018-03-01,1492.23
2018-04-01,1225.09
2018-05-01,774.72
2018-06-01,876.8
2018-07-01,806.55
2018-08-01,1401.23
2018-09-01,753.65
2018-10-01,2001.43
2018-11-01,2093.46
2018-12-01,1551.78
2019-01-01,2496.99
2019-02-01,1182.5
2019-03-01,742.11
2019-04-01,1116.46
2019-05-01,779.2
2019-06-01,1705.57
2019-07-01,1128.36
2019-08-01,1896.62
2019-09-01,1038.3
2019-10-01,940.9100000000001
2019-11-01,2686.95
2019-12-01,331.21
2020-01-01,955.71
2020-02-01,614.08
2020-03-01,723.13
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,777.4
2020-07-01,28.2
2020-08-01,82.9
2020-09-01,893.9399999999999
2020-10-01,1120.2
2020-11-01,460.90999999999997
2020-12-01,722.97
2021-01-01,236.397
2021-02-01,475.1775
2021-03-01,68.649
2021-04-01,493.8465
2021-05-01,217.686
2021-06-01,427.4025
2021-07-01,1624.287
2021-08-01,67.725
2021-09-01,86.1
2021-10-01,1123.605
2021-11-01,195.6885
2021-12-01,316.2075
2022-01-01,420.53
2022-02-01,196.86
2022-03-01,471.94
2022-04-01,692.6999999999999
2022-05-01,190.8
2022-06-01,475.8
2022-07-01,445.55
2022-08-01,381.45
2022-09-01,724.83
2022-10-01,284.55999999999995
2022-11-01,769.04
2022-12-01,1782.22
